StoreName,StroreCode,Date,Day,Hour,Amount
Horsham,1400,2026-01-18,Sunday,8,0
Horsham,1400,2026-01-18,Sunday,9,0
Horsham,1400,2026-01-18,Sunday,10,15.18
Horsham,1400,2026-01-18,Sunday,11,121.46
Horsham,1400,2026-01-18,Sunday,12,269.09
Horsham,1400,2026-01-18,Sunday,13,314.06
Horsham,1400,2026-01-18,Sunday,14,217.86
Horsham,1400,2026-01-18,Sunday,15,237.95
Horsham,1400,2026-01-18,Sunday,16,201.09
Horsham,1400,2026-01-18,Sunday,17,292.82
Horsham,1400,2026-01-18,Sunday,18,262.02
Horsham,1400,2026-01-18,Sunday,19,81.63
Horsham,1400,2026-01-18,Sunday,20,136.16
Horsham,1400,2026-01-18,Sunday,21,102.38
Horsham,1400,2026-01-18,Sunday,22,94.24
Horsham,1400,2026-01-18,Sunday,23,0
Horsham,1400,2026-01-19,Monday,10,18.37
Horsham,1400,2026-01-19,Monday,11,165.85
Horsham,1400,2026-01-19,Monday,12,330.03
Horsham,1400,2026-01-19,Monday,13,339.82
Horsham,1400,2026-01-19,Monday,14,265.18
Horsham,1400,2026-01-19,Monday,15,288.49
Horsham,1400,2026-01-19,Monday,16,236.79
Horsham,1400,2026-01-19,Monday,17,323.1
Horsham,1400,2026-01-19,Monday,18,258.46
Horsham,1400,2026-01-19,Monday,19,129.19
Horsham,1400,2026-01-19,Monday,20,71.05
Horsham,1400,2026-01-19,Monday,21,102.86
Horsham,1400,2026-01-19,Monday,22,136.31
Horsham,1400,2026-01-19,Monday,23,53.44
Horsham,1400,2026-01-20,Tuesday,10,34.54
Horsham,1400,2026-01-20,Tuesday,11,263.55
Horsham,1400,2026-01-20,Tuesday,12,399.95
Horsham,1400,2026-01-20,Tuesday,13,392.24
Horsham,1400,2026-01-20,Tuesday,14,222.86
Horsham,1400,2026-01-20,Tuesday,15,204.18
Horsham,1400,2026-01-20,Tuesday,16,221.82
Horsham,1400,2026-01-20,Tuesday,17,243.45
Horsham,1400,2026-01-20,Tuesday,18,362.7
Horsham,1400,2026-01-20,Tuesday,19,196.28
Horsham,1400,2026-01-20,Tuesday,20,106.38
Horsham,1400,2026-01-20,Tuesday,21,58.02
Horsham,1400,2026-01-20,Tuesday,22,64.61
Horsham,1400,2026-01-20,Tuesday,23,6.6
Horsham,1400,2026-01-21,Wednesday,9,18.08
Horsham,1400,2026-01-21,Wednesday,10,0
Horsham,1400,2026-01-21,Wednesday,11,216.76
Horsham,1400,2026-01-21,Wednesday,12,388.35
Horsham,1400,2026-01-21,Wednesday,13,337.23
Horsham,1400,2026-01-21,Wednesday,14,201.02
Horsham,1400,2026-01-21,Wednesday,15,293.22
Horsham,1400,2026-01-21,Wednesday,16,148.65
Horsham,1400,2026-01-21,Wednesday,17,205.9
Horsham,1400,2026-01-21,Wednesday,18,268.74
